Visited,Site,Year,Visit_num,BO,NSO,Method,TOD,RF,FOR,ttot
1,1,1,1,0,0,2,2,-0.41231532,-0.502710005,-0.5
1,1,1,2,0,0,2,2,-0.41231532,-0.502710005,-0.666666667
1,1,1,3,0,0,2,2,-0.41231532,-0.502710005,-0.833333333
1,1,1,4,0,0,2,1,-0.41231532,-0.502710005,-0.916666667
1,1,1,5,0,0,2,2,-0.41231532,-0.502710005,-0.75
1,1,1,6,0,0,2,2,-0.41231532,-0.502710005,-1.066666667
0,1,1,7,0,0,3,3,-0.41231532,-0.502710005,0
0,1,1,8,0,0,3,3,-0.41231532,-0.502710005,0
1,1,2,1,0,0,2,2,-0.41231532,-0.502710005,-0.6
1,1,2,2,0,0,2,2,-0.41231532,-0.502710005,-0.816666667
1,1,2,3,0,0,2,2,-0.41231532,-0.502710005,-0.3
1,1,2,4,0,0,2,2,-0.41231532,-0.502710005,-0.55
0,1,2,5,0,0,3,3,-0.41231532,-0.502710005,0
0,1,2,6,0,0,3,3,-0.41231532,-0.502710005,0
0,1,2,7,0,0,3,3,-0.41231532,-0.502710005,0
0,1,2,8,0,0,3,3,-0.41231532,-0.502710005,0
1,1,3,1,0,0,2,2,-0.41231532,-0.502710005,-0.7
1,1,3,2,0,0,2,2,-0.41231532,-0.502710005,-0.383333333
1,1,3,3,0,0,2,1,-0.41231532,-0.502710005,-0.733333333
1,1,3,4,0,0,2,2,-0.41231532,-0.502710005,-1.016666667
0,1,3,5,0,0,3,3,-0.41231532,-0.502710005,0
0,1,3,6,0,0,3,3,-0.41231532,-0.502710005,0
0,1,3,7,0,0,3,3,-0.41231532,-0.502710005,0
0,1,3,8,0,0,3,3,-0.41231532,-0.502710005,0
1,1,4,1,0,0,2,2,-0.41231532,-0.502710005,-0.35
1,1,4,2,0,0,2,3,-0.41231532,-0.502710005,0.266666667
1,1,4,3,0,0,2,1,-0.41231532,-0.502710005,-0.333333333
1,1,4,4,0,0,2,2,-0.41231532,-0.502710005,-0.733333333
0,1,4,5,0,0,3,3,-0.41231532,-0.502710005,0
0,1,4,6,0,0,3,3,-0.41231532,-0.502710005,0
0,1,4,7,0,0,3,3,-0.41231532,-0.502710005,0
0,1,4,8,0,0,3,3,-0.41231532,-0.502710005,0
1,1,5,1,0,0,2,2,-0.41231532,-0.509715471,-1.016666667
1,1,5,2,0,0,2,2,-0.41231532,-0.509715471,-0.783333333
1,1,5,3,0,0,2,1,-0.41231532,-0.509715471,-0.183333333
1,1,5,4,0,0,2,2,-0.41231532,-0.509715471,-0.533333333
0,1,5,5,0,0,3,3,-0.41231532,-0.509715471,0
0,1,5,6,0,0,3,3,-0.41231532,-0.509715471,0
0,1,5,7,0,0,3,3,-0.41231532,-0.509715471,0
0,1,5,8,0,0,3,3,-0.41231532,-0.509715471,0
1,1,6,1,0,0,2,2,-0.412315319,-0.509715471,-0.666666667
1,1,6,2,0,0,2,2,-0.412315319,-0.509715471,-0.766666667
1,1,6,3,0,0,2,2,-0.412315319,-0.509715471,-1
1,1,6,4,0,0,2,1,-0.412315319,-0.509715471,0.4
1,1,6,5,0,0,2,2,-0.412315319,-0.509715471,-0.45
1,1,6,6,0,0,2,1,-0.412315319,-0.509715471,-1.1
1,1,6,7,0,0,2,1,-0.412315319,-0.509715471,-0.866666667
0,1,6,8,0,0,3,3,-0.412315319,-0.509715471,0
1,1,7,1,0,0,2,3,-0.412315319,-0.509715471,-0.666666667
1,1,7,2,0,0,2,2,-0.412315319,-0.509715471,-0.633333333
1,1,7,3,0,0,2,2,-0.412315319,-0.509715471,-0.266666667
1,1,7,4,0,0,2,2,-0.412315319,-0.509715471,-0.583333333
0,1,7,5,0,0,3,3,-0.412315319,-0.509715471,0
0,1,7,6,0,0,3,3,-0.412315319,-0.509715471,0
0,1,7,7,0,0,3,3,-0.412315319,-0.509715471,0
0,1,7,8,0,0,3,3,-0.412315319,-0.509715471,0
1,1,8,1,0,0,2,1,-0.412315319,-0.509715471,-0.333333333
1,1,8,2,0,0,2,2,-0.412315319,-0.509715471,-0.666666667
1,1,8,3,0,0,2,2,-0.412315319,-0.509715471,-0.4
1,1,8,4,0,0,2,2,-0.412315319,-0.509715471,-0.6
0,1,8,5,0,0,3,3,-0.412315319,-0.509715471,0
0,1,8,6,0,0,3,3,-0.412315319,-0.509715471,0
0,1,8,7,0,0,3,3,-0.412315319,-0.509715471,0
0,1,8,8,0,0,3,3,-0.412315319,-0.509715471,0
1,1,9,1,0,0,2,3,-0.412315319,-0.509715471,-0.366666667
1,1,9,2,0,0,2,3,-0.412315319,-0.509715471,-0.25
1,1,9,3,0,0,2,1,-0.412315319,-0.509715471,-0.633333333
1,1,9,4,0,0,2,2,-0.412315319,-0.509715471,-0.4
0,1,9,5,0,0,3,3,-0.412315319,-0.509715471,0
0,1,9,6,0,0,3,3,-0.412315319,-0.509715471,0
0,1,9,7,0,0,3,3,-0.412315319,-0.509715471,0
0,1,9,8,0,0,3,3,-0.412315319,-0.509715471,0
1,1,10,1,0,0,2,2,-0.420374566,-0.528863747,-0.5
1,1,10,2,0,0,2,2,-0.420374566,-0.528863747,-0.3
1,1,10,3,0,0,2,2,-0.420374566,-0.528863747,-0.733333333
1,1,10,4,0,0,2,1,-0.420374566,-0.528863747,-0.05
0,1,10,5,0,0,3,3,-0.420374566,-0.528863747,0
0,1,10,6,0,0,3,3,-0.420374566,-0.528863747,0
0,1,10,7,0,0,3,3,-0.420374566,-0.528863747,0
0,1,10,8,0,0,3,3,-0.420374566,-0.528863747,0
1,1,11,1,0,1,2,2,-0.420374566,-0.528863747,-0.716666667
1,1,11,2,0,1,1,1,-0.420374566,-0.528863747,-0.666666667
