mtn,transect,pnt,idhabitatclass
CM,A,1,5
CM,A,2,5
CM,A,3,6
CM,A,4,6
CM,A,5,6
CM,A,6,6
CM,A,7,6
CM,A,8,6
CM,A,9,6
CM,A,10,5
CM,A,11,7
CM,A,12,7
CM,B,1,3
CM,B,2,5
CM,B,3,5
CM,B,4,5
CM,B,5,3
CM,B,6,3
CM,B,7,5
CM,B,8,5
CM,B,9,5
CM,B,10,3
CM,B,11,4
CM,B,12,4
CM,C,1,4
CM,C,2,4
CM,C,3,4
CM,C,4,4
CM,C,5,4
CM,C,6,4
CM,C,7,4
CM,C,8,4
CM,C,9,4
CM,C,10,3
CM,C,11,4
CM,C,12,4
CM,D,1,5
CM,D,2,5
CM,D,3,5
CM,D,4,5
CM,D,5,5
CM,D,6,3
CM,D,7,5
CM,D,8,3
CM,D,9,3
CM,D,10,3
CM,D,11,3
CM,D,12,3
CM,E,1,5
CM,E,2,5
CM,E,3,5
CM,E,4,2
CM,E,5,2
CM,E,6,2
CM,E,7,4
CM,E,8,2
CM,F,1,3
CM,F,2,5
CM,F,3,4
CM,F,4,5
CM,F,5,4
CM,F,6,4
CM,F,7,3
CM,F,8,4
CM,F,9,5
CM,F,10,4
CM,F,11,5
CM,F,12,4
CM,G,1,3
CM,G,2,3
CM,G,3,3
CM,G,4,4
CM,G,5,4
CM,G,6,5
CM,G,7,4
CM,G,8,4
CM,G,9,1
CM,G,10,4
CM,G,11,3
CM,G,12,5
CM,H,1,7
CM,H,2,7
CM,H,3,7
CM,H,4,7
CM,H,5,7
CM,H,6,7
CM,H,7,7
CM,H,8,6
CM,H,9,6
CM,H,10,7
CM,H,11,7
CM,H,12,7
