"","Visited","Site","Year","Visit_num","BO","TOD","RF"
"1",1,1,1,1,0,3,-0.752292993
"2",1,1,1,2,0,3,-0.752292993
"3",1,1,1,3,0,3,-0.752292993
"4",1,1,1,4,0,3,-0.752292993
"5",1,1,1,5,0,1,-0.752292993
"6",1,1,1,6,0,3,-0.752292993
"7",0,1,1,7,NA,NA,-0.752292993
"8",0,1,1,8,NA,NA,-0.752292993
"9",1,1,2,1,0,3,-0.777109674
"10",1,1,2,2,0,3,-0.777109674
"11",1,1,2,3,0,3,-0.777109674
"12",1,1,2,4,0,3,-0.777109674
"13",0,1,2,5,NA,NA,-0.777109674
"14",0,1,2,6,NA,NA,-0.777109674
"15",0,1,2,7,NA,NA,-0.777109674
"16",0,1,2,8,NA,NA,-0.777109674
"17",1,1,3,1,0,1,-0.778415816
"18",1,1,3,2,0,3,-0.778415816
"19",1,1,3,3,0,3,-0.778415816
"20",1,1,3,4,0,3,-0.778415816
"21",0,1,3,5,NA,NA,-0.778415816
"22",0,1,3,6,NA,NA,-0.778415816
"23",0,1,3,7,NA,NA,-0.778415816
"24",0,1,3,8,NA,NA,-0.778415816
"25",1,1,4,1,0,1,-0.778415816
"26",1,1,4,2,0,2,-0.778415816
"27",1,1,4,3,0,3,-0.778415816
"28",1,1,4,4,0,3,-0.778415816
"29",0,1,4,5,NA,NA,-0.778415816
"30",0,1,4,6,NA,NA,-0.778415816
"31",0,1,4,7,NA,NA,-0.778415816
"32",0,1,4,8,NA,NA,-0.778415816
"33",1,1,5,1,0,3,-0.778415816
"34",1,1,5,2,0,3,-0.778415816
"35",1,1,5,3,0,3,-0.778415816
"36",1,1,5,4,0,1,-0.778415816
"37",0,1,5,5,NA,NA,-0.778415816
"38",0,1,5,6,NA,NA,-0.778415816
"39",0,1,5,7,NA,NA,-0.778415816
"40",0,1,5,8,NA,NA,-0.778415816
"41",1,1,6,1,0,3,-0.778415816
"42",1,1,6,2,0,3,-0.778415816
"43",1,1,6,3,0,1,-0.778415816
"44",1,1,6,4,0,1,-0.778415816
"45",1,1,6,5,0,3,-0.778415816
"46",1,1,6,6,0,3,-0.778415816
"47",1,1,6,7,0,1,-0.778415816
"48",0,1,6,8,NA,NA,-0.778415816
"49",1,1,7,1,0,3,-0.778415816
"50",1,1,7,2,0,2,-0.778415816
"51",1,1,7,3,0,3,-0.778415816
"52",1,1,7,4,0,3,-0.778415816
"53",0,1,7,5,NA,NA,-0.778415816
"54",0,1,7,6,NA,NA,-0.778415816
"55",0,1,7,7,NA,NA,-0.778415816
"56",0,1,7,8,NA,NA,-0.778415816
"57",1,1,8,1,0,3,-0.778415816
"58",1,1,8,2,0,3,-0.778415816
"59",1,1,8,3,0,3,-0.778415816
"60",1,1,8,4,0,1,-0.778415816
"61",0,1,8,5,NA,NA,-0.778415816
"62",0,1,8,6,NA,NA,-0.778415816
"63",0,1,8,7,NA,NA,-0.778415816
"64",0,1,8,8,NA,NA,-0.778415816
"65",1,1,9,1,0,2,-0.778415816
"66",1,1,9,2,0,2,-0.778415816
"67",1,1,9,3,0,1,-0.778415816
"68",1,1,9,4,0,3,-0.778415816
"69",0,1,9,5,NA,NA,-0.778415816
"70",0,1,9,6,NA,NA,-0.778415816
"71",0,1,9,7,NA,NA,-0.778415816
"72",0,1,9,8,NA,NA,-0.778415816
"73",1,1,10,1,0,1,-0.778415816
"74",1,1,10,2,0,3,-0.778415816
"75",1,1,10,3,0,3,-0.778415816
"76",1,1,10,4,0,3,-0.778415816
"77",0,1,10,5,NA,NA,-0.778415816
"78",0,1,10,6,NA,NA,-0.778415816
"79",0,1,10,7,NA,NA,-0.778415816
"80",0,1,10,8,NA,NA,-0.778415816
"81",1,1,11,1,0,1,-0.778415816
"82",1,1,11,2,0,1,-0.778415816
"83",1,1,11,3,0,3,-0.778415816
"84",1,1,11,4,0,1,-0.778415816
"85",0,1,11,5,NA,NA,-0.778415816
"86",0,1,11,6,NA,NA,-0.778415816
"87",0,1,11,7,NA,NA,-0.778415816
"88",0,1,11,8,NA,NA,-0.778415816
"89",1,1,12,1,0,3,-0.787558804
"90",1,1,12,2,0,1,-0.787558804
"91",1,1,12,3,0,3,-0.787558804
"92",1,1,12,4,0,3,-0.787558804
"93",0,1,12,5,NA,NA,-0.787558804
"94",0,1,12,6,NA,NA,-0.787558804
"95",0,1,12,7,NA,NA,-0.787558804
"96",0,1,12,8,NA,NA,-0.787558804
"97",1,1,13,1,0,3,-0.787558804
"98",1,1,13,2,0,1,-0.787558804
"99",1,1,13,3,0,3,-0.787558804
"100",1,1,13,4,0,3,-0.787558804
"101",0,1,13,5,NA,NA,-0.787558804
"102",0,1,13,6,NA,NA,-0.787558804
"103",0,1,13,7,NA,NA,-0.787558804
"104",0,1,13,8,NA,NA,-0.787558804
"105",1,1,14,1,0,1,-0.787558804
"106",1,1,14,2,0,1,-0.787558804
"107",1,1,14,3,0,1,-0.787558804
"108",1,1,14,4,0,1,-0.787558804
"109",1,1,14,5,0,3,-0.787558804
"110",0,1,14,6,NA,NA,-0.787558804
"111",0,1,14,7,NA,NA,-0.787558804
"112",0,1,14,8,NA,NA,-0.787558804
"113",1,1,15,1,0,1,-0.787558804
"114",1,1,15,2,0,3,-0.787558804
"115",1,1,15,3,0,3,-0.787558804
"116",1,1,15,4,0,3,-0.787558804
"117",0,1,15,5,NA,NA,-0.787558804
"118",0,1,15,6,NA,NA,-0.787558804
"119",0,1,15,7,NA,NA,-0.787558804
"120",0,1,15,8,NA,NA,-0.787558804
"121",1,1,16,1,0,3,-0.787558804
"122",1,1,16,2,0,3,-0.787558804
"123",1,1,16,3,0,3,-0.787558804
"124",1,1,16,4,1,1,-0.787558804
"125",0,1,16,5,NA,NA,-0.787558804
"126",0,1,16,6,NA,NA,-0.787558804
"127",0,1,16,7,NA,NA,-0.787558804
"128",0,1,16,8,NA,NA,-0.787558804
"129",1,1,17,1,0,1,-0.787558804
"130",1,1,17,2,0,3,-0.787558804
"131",1,1,17,3,0,3,-0.787558804
"132",1,1,17,4,0,3,-0.787558804
"133",0,1,17,5,NA,NA,-0.787558804
"134",0,1,17,6,NA,NA,-0.787558804
"135",0,1,17,7,NA,NA,-0.787558804
"136",0,1,17,8,NA,NA,-0.787558804
"137",1,1,18,1,0,2,-0.787558804
"138",1,1,18,2,1,3,-0.787558804
"139",1,1,18,3,0,3,-0.787558804
"140",1,1,18,4,1,3,-0.787558804
"141",1,1,18,5,0,2,-0.787558804
"142",1,1,18,6,0,1,-0.787558804
"143",1,1,18,7,0,3,-0.787558804
"144",0,1,18,8,NA,NA,-0.787558804
"145",1,1,19,1,0,1,-0.787558804
"146",1,1,19,2,0,3,-0.787558804
"147",1,1,19,3,0,3,-0.787558804
"148",0,1,19,4,NA,NA,-0.787558804
"149",0,1,19,5,NA,NA,-0.787558804
"150",0,1,19,6,NA,NA,-0.787558804
"151",0,1,19,7,NA,NA,-0.787558804
"152",0,1,19,8,NA,NA,-0.787558804
"153",1,1,20,1,0,1,-0.787558804
"154",1,1,20,2,0,3,-0.787558804
"155",1,1,20,3,0,3,-0.787558804
