"bc1","bc2","bc3","ts","AZeff"
0,0,1,1,4.78194444444444
0,0,0,3,5.38083333333334
0,0,1,4,5.2825
0,0,1,5,4.71138888888889
0,0,0,7,3.53388888888889
0,0,0,8,4.6725
0,0,0,9,5.38444444444444
0,0,0,11,4.66416666666667
0,0,2,12,4.82277777777778
0,0,2,13,5.475
0,1,1,15,3.49888888888889
0,1,0,16,5.2525
0,0,0,17,5.40305555555556
0,0,2,19,4.86111111111111
0,0,1,20,4.67666666666667
0,0,2,21,5.63972222222222
0,0,2,23,4.59333333333333
0,0,0,24,5.26138888888889
0,0,0,25,5.40527777777778
0,1,2,27,4.65222222222222
0,0,0,28,5.06444444444444
0,0,0,29,4.95722222222222
0,0,0,31,4.20805555555556
1,0,1,32,5.23111111111111
0,0,2,33,6.06083333333333
0,0,4,35,4.78472222222222
0,0,1,36,5.31027777777778
0,0,0,37,6.42666666666667
0,0,2,39,13.2061111111111
0,0,2,40,6.30222222222222
1,0,2,41,5.69916666666667
1,0,2,43,7.87583333333333
1,0,1,44,4.97638888888889
1,0,1,45,4.97833333333333
2,0,0,47,4.36722222222222
0,1,0,48,4.01583333333333
0,1,1,49,4.52472222222222
1,1,1,51,5.54138888888889
0,2,3,52,6.50388888888889
2,0,2,53,6.39388888888888
5,1,5,55,6.66555555555555
3,1,6,56,7.21111111111111
1,1,0,57,8.40527777777778
0,2,6,59,6.71111111111111
3,4,11,60,7.33305555555556
23,1,3,61,7.39527777777778
4,0,2,63,4.85972222222222
15,2,4,64,7.32111111111111
38,2,3,65,8.42416666666667
25,4,8,67,6.54916666666667
3,8,4,68,6.65555555555555
6,10,0,69,6.35805555555555
